date	xml_link	pdf_link	file
12-06-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-12/toc_unixml/19280612_senate_10_119_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-12/toc_pdf/19280612_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-06-12/0028%22	Id%3A%22hansard80%2Fhansards80%2F1928-06-12%2F0028%22.html
13-06-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-13/toc_unixml/19280613_senate_10_119_v14.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-13/toc_pdf/19280613_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-06-13/0127%22	Id%3A%22hansard80%2Fhansards80%2F1928-06-13%2F0127%22.html
13-06-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-13/toc_unixml/19280613_senate_10_119_v14.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-13/toc_pdf/19280613_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-06-13/0148%22	Id%3A%22hansard80%2Fhansards80%2F1928-06-13%2F0148%22.html
14-06-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-14/toc_unixml/19280614_senate_10_119_v12.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-14/toc_pdf/19280614_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-06-14/0044%22	Id%3A%22hansard80%2Fhansards80%2F1928-06-14%2F0044%22.html
14-06-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-14/toc_unixml/19280614_senate_10_119_v12.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-06-14/toc_pdf/19280614_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-06-14/0045%22	Id%3A%22hansard80%2Fhansards80%2F1928-06-14%2F0045%22.html
29-08-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-08-29/toc_unixml/19280829_senate_10_119_v9.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-08-29/toc_pdf/19280829_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-08-29/0010%22	Id%3A%22hansard80%2Fhansards80%2F1928-08-29%2F0010%22.html
30-08-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-08-30/toc_unixml/19280830_senate_10_119_v10.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-08-30/toc_pdf/19280830_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-08-30/0013%22	Id%3A%22hansard80%2Fhansards80%2F1928-08-30%2F0013%22.html
31-08-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-08-31/toc_unixml/19280831_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-08-31/toc_pdf/19280831_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-08-31/0028%22	Id%3A%22hansard80%2Fhansards80%2F1928-08-31%2F0028%22.html
05-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-05/toc_unixml/19280905_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-05/toc_pdf/19280905_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-05/0002%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-05%2F0002%22.html
05-09-1928	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-05/toc_unixml/19280905_senate_10_119_v11.xml;fileType=text%2Fxml	https://parlinfo.aph.gov.au//parlInfo/download/hansard80/hansards80/1928-09-05/toc_pdf/19280905_senate_10_119.pdf;fileType=application%2Fpdf#search=%22hansard80/hansards80/1928-09-05/0036%22	Id%3A%22hansard80%2Fhansards80%2F1928-09-05%2F0036%22.html
